INT3120;Phát triển ứng dụng di động ;Mobile application development;3;30;15;;INT2204
INT3125;Các chuyên đề trong TT&MMT ;Special Problems in Communications and Computer networks;3;21;0;24;
MAT1100;Tối ưu hóa;Optimization;2;30;;;MAT1093
ELT2028;Chuyên nghiệp trong công nghệ;Professional in Technology;2;30;;;
ELT2031;Mô hình hóa và mô phỏng;Modeling and Simulation;2;20;10;;INT1006
BSA2004;Quản trị học;Basic of Management;3;24;18;3;
BSA2022;Nguyên lý Marketing ;Marketing Principles;3;21;23;1;
BSA2001;Nguyên lý Kế toán;Accounting Principles;3;22;20;3;
INT3117;Kiểm thử và đảm bảo chất lượng phần mềm;Software Testing and Quality Assurance;3;45;;;INT2204
INT3105;Kiến trúc phần mềm;Software Architecture;3;45;;;INT2204
INT3106;Phương pháp hình thức;Formal Methods;3;30;15;;INT1050
INT3109;Thu thập và phân tích yêu cầu;Requirement Engineering;3;45;;;INT2208
INT3115;Thiết kế giao diện người dùng;User Interface Design;3;45;;;INT2204
INE1150;Kinh tế vi mô 1;Micro Economics 1;3;30;10;5;
ELT3103;Thực tập điện tử số;Digital Electronic Engineering Practice;2;;30;;ELT2041
PSY1050;Tâm lý học đại cương;General Psychology;2;20;8;2;
MNS1052;Khoa học quản lý đại cương;General Management Science;2;20;10;;
BSA1054;Kỹ thuật lãnh đạo và giao tiếp nhóm;Leadership and Group Communication;2;20;10;;
JOU1050;Báo chí truyền thông đại cương ;General Communication-Journalism;3;45;;;
SOC3006;Xã hội hóa truyền thông đại chúng và dư luận xã hội;Socialization of Mass Media and Social Opinions;3;45;;;
INT4054;Đồ án tốt nghiệp;Graduation Thesis;10;;;;
INT4050;Khóa luận tốt nghiệp ;Graduation Thesis;10;;;;
